"condition","rmseResult","experimentLabel","cohort","k","numCellTypes","cellTypes"
"replicate.id:rep1;condition.id:noscale","2.22e-01","huuki-meyers-et-al-2023_dlpfc-cohort1_k2","Huuki-Myers et al 2023","2","2","neuron;glial"
"replicate.id:rep1;condition.id:withscale","1.34e-16","huuki-meyers-et-al-2023_dlpfc-cohort1_k2","Huuki-Myers et al 2023","2","2","neuron;glial"
"sample.id:donor6","1.99e-01","tran-et-al-2021_dlpfc-cohort2_k2","Tran et al 2021","2","2","neuron;glial"
"sample.id:donor1","1.69e-01","tran-et-al-2021_dlpfc-cohort2_k2","Tran et al 2021","2","2","neuron;glial"
"sample.id:donor2","1.90e-01","tran-et-al-2021_dlpfc-cohort2_k2","Tran et al 2021","2","2","neuron;glial"
"condition.id:noscale","2.63e-01","tran-et-al-2021_dlpfc-cohort2_k2","Tran et al 2021","2","2","neuron;glial"
"condition.id:withscale","8.78e-17","tran-et-al-2021_dlpfc-cohort2_k2","Tran et al 2021","2","2","neuron;glial"
"replicate.id:rep1","1.86e-01","tran-et-al-2021_dlpfc-cohort2_k2","Tran et al 2021","2","2","neuron;glial"
"replicate.id:rep1;condition.id:noscale","2.63e-01","tran-et-al-2021_dlpfc-cohort2_k2","Tran et al 2021","2","2","neuron;glial"
"replicate.id:rep1;condition.id:withscale","8.78e-17","tran-et-al-2021_dlpfc-cohort2_k2","Tran et al 2021","2","2","neuron;glial"
"sample.id:Br2743_ant","1.88e-02","huuki-meyers-et-al-2023_dlpfc-cohort1_shuffle","Huuki-Myers et al 2023","2","2","neuron;glial"
"sample.id:Br3942_mid","3.52e-02","huuki-meyers-et-al-2023_dlpfc-cohort1_shuffle","Huuki-Myers et al 2023","2","2","neuron;glial"
"sample.id:Br6423_ant","6.25e-02","huuki-meyers-et-al-2023_dlpfc-cohort1_shuffle","Huuki-Myers et al 2023","2","2","neuron;glial"
"sample.id:Br6423_post","6.51e-02","huuki-meyers-et-al-2023_dlpfc-cohort1_shuffle","Huuki-Myers et al 2023","2","2","neuron;glial"
"sample.id:Br6471_mid","4.92e-02","huuki-meyers-et-al-2023_dlpfc-cohort1_shuffle","Huuki-Myers et al 2023","2","2","neuron;glial"
"sample.id:Br8325_ant","2.34e-02","huuki-meyers-et-al-2023_dlpfc-cohort1_shuffle","Huuki-Myers et al 2023","2","2","neuron;glial"
"sample.id:Br8325_mid","1.81e-02","huuki-meyers-et-al-2023_dlpfc-cohort1_shuffle","Huuki-Myers et al 2023","2","2","neuron;glial"
"sample.id:Br8492_post","2.29e-02","huuki-meyers-et-al-2023_dlpfc-cohort1_shuffle","Huuki-Myers et al 2023","2","2","neuron;glial"
"sample.id:Br3942_ant","1.28e-02","huuki-meyers-et-al-2023_dlpfc-cohort1_shuffle","Huuki-Myers et al 2023","2","2","neuron;glial"
"sample.id:Br8492_mid","1.71e-02","huuki-meyers-et-al-2023_dlpfc-cohort1_shuffle","Huuki-Myers et al 2023","2","2","neuron;glial"
"condition.id:noscale","4.59e-02","huuki-meyers-et-al-2023_dlpfc-cohort1_shuffle","Huuki-Myers et al 2023","2","2","neuron;glial"
"condition.id:withscale","2.64e-02","huuki-meyers-et-al-2023_dlpfc-cohort1_shuffle","Huuki-Myers et al 2023","2","2","neuron;glial"
"replicate.id:rep1","3.74e-02","huuki-meyers-et-al-2023_dlpfc-cohort1_shuffle","Huuki-Myers et al 2023","2","2","neuron;glial"
"replicate.id:rep1;condition.id:noscale","4.59e-02","huuki-meyers-et-al-2023_dlpfc-cohort1_shuffle","Huuki-Myers et al 2023","2","2","neuron;glial"
"replicate.id:rep1;condition.id:withscale","2.64e-02","huuki-meyers-et-al-2023_dlpfc-cohort1_shuffle","Huuki-Myers et al 2023","2","2","neuron;glial"
"sample.id:Br2720_mid","1.33e-01","huuki-meyers-et-al-2023_dlpfc-cohort1_neuron_k2","Huuki-Myers et al 2023","2","2","neuron"
"sample.id:Br6471_mid","1.76e-01","huuki-meyers-et-al-2023_dlpfc-cohort1_neuron_k2","Huuki-Myers et al 2023","2","2","neuron"
"sample.id:Br8492_post","1.68e-01","huuki-meyers-et-al-2023_dlpfc-cohort1_neuron_k2","Huuki-Myers et al 2023","2","2","neuron"
"sample.id:Br2743_ant","1.96e-01","huuki-meyers-et-al-2023_dlpfc-cohort1_neuron_k2","Huuki-Myers et al 2023","2","2","neuron"
"sample.id:Br8492_mid","1.33e-01","huuki-meyers-et-al-2023_dlpfc-cohort1_neuron_k2","Huuki-Myers et al 2023","2","2","neuron"
"sample.id:Br3942_ant","1.12e-01","huuki-meyers-et-al-2023_dlpfc-cohort1_neuron_k2","Huuki-Myers et al 2023","2","2","neuron"
"sample.id:Br6423_post","1.97e-01","huuki-meyers-et-al-2023_dlpfc-cohort1_neuron_k2","Huuki-Myers et al 2023","2","2","neuron"
"sample.id:Br6423_ant","1.91e-01","huuki-meyers-et-al-2023_dlpfc-cohort1_neuron_k2","Huuki-Myers et al 2023","2","2","neuron"
"sample.id:Br3942_mid","9.29e-02","huuki-meyers-et-al-2023_dlpfc-cohort1_neuron_k2","Huuki-Myers et al 2023","2","2","neuron"
"sample.id:Br8325_ant","9.20e-02","huuki-meyers-et-al-2023_dlpfc-cohort1_neuron_k2","Huuki-Myers et al 2023","2","2","neuron"
"sample.id:Br8325_mid","1.53e-01","huuki-meyers-et-al-2023_dlpfc-cohort1_neuron_k2","Huuki-Myers et al 2023","2","2","neuron"
"sample.id:Br2743_mid","9.70e-02","huuki-meyers-et-al-2023_dlpfc-cohort1_neuron_k2","Huuki-Myers et al 2023","2","2","neuron"
"sample.id:Br6432_ant","1.49e-01","huuki-meyers-et-al-2023_dlpfc-cohort1_neuron_k2","Huuki-Myers et al 2023","2","2","neuron"
"sample.id:Br6522_mid","1.48e-01","huuki-meyers-et-al-2023_dlpfc-cohort1_neuron_k2","Huuki-Myers et al 2023","2","2","neuron"
"sample.id:Br6522_post","1.35e-01","huuki-meyers-et-al-2023_dlpfc-cohort1_neuron_k2","Huuki-Myers et al 2023","2","2","neuron"
"sample.id:Br8667_mid","2.07e-01","huuki-meyers-et-al-2023_dlpfc-cohort1_neuron_k2","Huuki-Myers et al 2023","2","2","neuron"
"sample.id:Br8667_ant","2.07e-01","huuki-meyers-et-al-2023_dlpfc-cohort1_neuron_k2","Huuki-Myers et al 2023","2","2","neuron"
"condition.id:noscale","2.22e-01","huuki-meyers-et-al-2023_dlpfc-cohort1_neuron_k2","Huuki-Myers et al 2023","2","2","neuron"
"condition.id:withscale","1.29e-16","huuki-meyers-et-al-2023_dlpfc-cohort1_neuron_k2","Huuki-Myers et al 2023","2","2","neuron"
"replicate.id:rep1","1.57e-01","huuki-meyers-et-al-2023_dlpfc-cohort1_neuron_k2","Huuki-Myers et al 2023","2","2","neuron"
"replicate.id:rep1;condition.id:noscale","2.22e-01","huuki-meyers-et-al-2023_dlpfc-cohort1_neuron_k2","Huuki-Myers et al 2023","2","2","neuron"
"replicate.id:rep1;condition.id:withscale","1.29e-16","huuki-meyers-et-al-2023_dlpfc-cohort1_neuron_k2","Huuki-Myers et al 2023","2","2","neuron"
"sample.id:donor6","1.99e-01","tran-et-al-2021_dlpfc-cohort2_neuron_k2","Tran et al 2021","2","2","neuron"
"sample.id:donor1","1.69e-01","tran-et-al-2021_dlpfc-cohort2_neuron_k2","Tran et al 2021","2","2","neuron"
"sample.id:donor2","1.90e-01","tran-et-al-2021_dlpfc-cohort2_neuron_k2","Tran et al 2021","2","2","neuron"
"condition.id:noscale","2.63e-01","tran-et-al-2021_dlpfc-cohort2_neuron_k2","Tran et al 2021","2","2","neuron"
"condition.id:withscale","7.85e-17","tran-et-al-2021_dlpfc-cohort2_neuron_k2","Tran et al 2021","2","2","neuron"
"replicate.id:rep1","1.86e-01","tran-et-al-2021_dlpfc-cohort2_neuron_k2","Tran et al 2021","2","2","neuron"
"replicate.id:rep1;condition.id:noscale","2.63e-01","tran-et-al-2021_dlpfc-cohort2_neuron_k2","Tran et al 2021","2","2","neuron"
"replicate.id:rep1;condition.id:withscale","7.85e-17","tran-et-al-2021_dlpfc-cohort2_neuron_k2","Tran et al 2021","2","2","neuron"
"sample.id:Br2743_ant","1.88e-02","huuki-meyers-et-al-2023_dlpfc-cohort1_neuron_shuffle","Huuki-Myers et al 2023","2","2","neuron"
"sample.id:Br3942_mid","3.52e-02","huuki-meyers-et-al-2023_dlpfc-cohort1_neuron_shuffle","Huuki-Myers et al 2023","2","2","neuron"
"sample.id:Br6423_ant","6.25e-02","huuki-meyers-et-al-2023_dlpfc-cohort1_neuron_shuffle","Huuki-Myers et al 2023","2","2","neuron"
"sample.id:Br6423_post","6.51e-02","huuki-meyers-et-al-2023_dlpfc-cohort1_neuron_shuffle","Huuki-Myers et al 2023","2","2","neuron"
"sample.id:Br6471_mid","4.92e-02","huuki-meyers-et-al-2023_dlpfc-cohort1_neuron_shuffle","Huuki-Myers et al 2023","2","2","neuron"
"sample.id:Br8325_ant","2.34e-02","huuki-meyers-et-al-2023_dlpfc-cohort1_neuron_shuffle","Huuki-Myers et al 2023","2","2","neuron"
"sample.id:Br8325_mid","1.81e-02","huuki-meyers-et-al-2023_dlpfc-cohort1_neuron_shuffle","Huuki-Myers et al 2023","2","2","neuron"
"sample.id:Br8492_post","2.29e-02","huuki-meyers-et-al-2023_dlpfc-cohort1_neuron_shuffle","Huuki-Myers et al 2023","2","2","neuron"
"sample.id:Br3942_ant","1.28e-02","huuki-meyers-et-al-2023_dlpfc-cohort1_neuron_shuffle","Huuki-Myers et al 2023","2","2","neuron"
"sample.id:Br8492_mid","1.71e-02","huuki-meyers-et-al-2023_dlpfc-cohort1_neuron_shuffle","Huuki-Myers et al 2023","2","2","neuron"
"condition.id:noscale","4.59e-02","huuki-meyers-et-al-2023_dlpfc-cohort1_neuron_shuffle","Huuki-Myers et al 2023","2","2","neuron"
"condition.id:withscale","2.64e-02","huuki-meyers-et-al-2023_dlpfc-cohort1_neuron_shuffle","Huuki-Myers et al 2023","2","2","neuron"
"replicate.id:rep1","3.74e-02","huuki-meyers-et-al-2023_dlpfc-cohort1_neuron_shuffle","Huuki-Myers et al 2023","2","2","neuron"
"replicate.id:rep1;condition.id:noscale","4.59e-02","huuki-meyers-et-al-2023_dlpfc-cohort1_neuron_shuffle","Huuki-Myers et al 2023","2","2","neuron"
"replicate.id:rep1;condition.id:withscale","2.64e-02","huuki-meyers-et-al-2023_dlpfc-cohort1_neuron_shuffle","Huuki-Myers et al 2023","2","2","neuron"
"sample.id:Br2720_mid","1.33e-01","huuki-meyers-et-al-2023_dlpfc-cohort1_glial_k2","Huuki-Myers et al 2023","2","2","glial"
"sample.id:Br6471_mid","1.76e-01","huuki-meyers-et-al-2023_dlpfc-cohort1_glial_k2","Huuki-Myers et al 2023","2","2","glial"
"sample.id:Br8492_post","1.68e-01","huuki-meyers-et-al-2023_dlpfc-cohort1_glial_k2","Huuki-Myers et al 2023","2","2","glial"
"sample.id:Br2743_ant","1.96e-01","huuki-meyers-et-al-2023_dlpfc-cohort1_glial_k2","Huuki-Myers et al 2023","2","2","glial"
"sample.id:Br8492_mid","1.33e-01","huuki-meyers-et-al-2023_dlpfc-cohort1_glial_k2","Huuki-Myers et al 2023","2","2","glial"
"sample.id:Br3942_ant","1.12e-01","huuki-meyers-et-al-2023_dlpfc-cohort1_glial_k2","Huuki-Myers et al 2023","2","2","glial"
"sample.id:Br6423_post","1.97e-01","huuki-meyers-et-al-2023_dlpfc-cohort1_glial_k2","Huuki-Myers et al 2023","2","2","glial"
"sample.id:Br6423_ant","1.91e-01","huuki-meyers-et-al-2023_dlpfc-cohort1_glial_k2","Huuki-Myers et al 2023","2","2","glial"
"sample.id:Br3942_mid","9.29e-02","huuki-meyers-et-al-2023_dlpfc-cohort1_glial_k2","Huuki-Myers et al 2023","2","2","glial"
"sample.id:Br8325_ant","9.20e-02","huuki-meyers-et-al-2023_dlpfc-cohort1_glial_k2","Huuki-Myers et al 2023","2","2","glial"
"sample.id:Br8325_mid","1.53e-01","huuki-meyers-et-al-2023_dlpfc-cohort1_glial_k2","Huuki-Myers et al 2023","2","2","glial"
"sample.id:Br2743_mid","9.70e-02","huuki-meyers-et-al-2023_dlpfc-cohort1_glial_k2","Huuki-Myers et al 2023","2","2","glial"
"sample.id:Br6432_ant","1.49e-01","huuki-meyers-et-al-2023_dlpfc-cohort1_glial_k2","Huuki-Myers et al 2023","2","2","glial"
"sample.id:Br6522_mid","1.48e-01","huuki-meyers-et-al-2023_dlpfc-cohort1_glial_k2","Huuki-Myers et al 2023","2","2","glial"
"sample.id:Br6522_post","1.35e-01","huuki-meyers-et-al-2023_dlpfc-cohort1_glial_k2","Huuki-Myers et al 2023","2","2","glial"
"sample.id:Br8667_mid","2.07e-01","huuki-meyers-et-al-2023_dlpfc-cohort1_glial_k2","Huuki-Myers et al 2023","2","2","glial"
"sample.id:Br8667_ant","2.07e-01","huuki-meyers-et-al-2023_dlpfc-cohort1_glial_k2","Huuki-Myers et al 2023","2","2","glial"
"condition.id:noscale","2.22e-01","huuki-meyers-et-al-2023_dlpfc-cohort1_glial_k2","Huuki-Myers et al 2023","2","2","glial"
"condition.id:withscale","1.40e-16","huuki-meyers-et-al-2023_dlpfc-cohort1_glial_k2","Huuki-Myers et al 2023","2","2","glial"
"replicate.id:rep1","1.57e-01","huuki-meyers-et-al-2023_dlpfc-cohort1_glial_k2","Huuki-Myers et al 2023","2","2","glial"
"replicate.id:rep1;condition.id:noscale","2.22e-01","huuki-meyers-et-al-2023_dlpfc-cohort1_glial_k2","Huuki-Myers et al 2023","2","2","glial"
"replicate.id:rep1;condition.id:withscale","1.40e-16","huuki-meyers-et-al-2023_dlpfc-cohort1_glial_k2","Huuki-Myers et al 2023","2","2","glial"
"sample.id:donor6","1.99e-01","tran-et-al-2021_dlpfc-cohort2_glial_k2","Tran et al 2021","2","2","glial"
"sample.id:donor1","1.69e-01","tran-et-al-2021_dlpfc-cohort2_glial_k2","Tran et al 2021","2","2","glial"
"sample.id:donor2","1.90e-01","tran-et-al-2021_dlpfc-cohort2_glial_k2","Tran et al 2021","2","2","glial"
"condition.id:noscale","2.63e-01","tran-et-al-2021_dlpfc-cohort2_glial_k2","Tran et al 2021","2","2","glial"
"condition.id:withscale","9.61e-17","tran-et-al-2021_dlpfc-cohort2_glial_k2","Tran et al 2021","2","2","glial"
"replicate.id:rep1","1.86e-01","tran-et-al-2021_dlpfc-cohort2_glial_k2","Tran et al 2021","2","2","glial"
"replicate.id:rep1;condition.id:noscale","2.63e-01","tran-et-al-2021_dlpfc-cohort2_glial_k2","Tran et al 2021","2","2","glial"
"replicate.id:rep1;condition.id:withscale","9.61e-17","tran-et-al-2021_dlpfc-cohort2_glial_k2","Tran et al 2021","2","2","glial"
"sample.id:Br2743_ant","1.88e-02","huuki-meyers-et-al-2023_dlpfc-cohort1_glial_shuffle","Huuki-Myers et al 2023","2","2","glial"
"sample.id:Br3942_mid","3.52e-02","huuki-meyers-et-al-2023_dlpfc-cohort1_glial_shuffle","Huuki-Myers et al 2023","2","2","glial"
"sample.id:Br6423_ant","6.25e-02","huuki-meyers-et-al-2023_dlpfc-cohort1_glial_shuffle","Huuki-Myers et al 2023","2","2","glial"
"sample.id:Br6423_post","6.51e-02","huuki-meyers-et-al-2023_dlpfc-cohort1_glial_shuffle","Huuki-Myers et al 2023","2","2","glial"
"sample.id:Br6471_mid","4.92e-02","huuki-meyers-et-al-2023_dlpfc-cohort1_glial_shuffle","Huuki-Myers et al 2023","2","2","glial"
"sample.id:Br8325_ant","2.34e-02","huuki-meyers-et-al-2023_dlpfc-cohort1_glial_shuffle","Huuki-Myers et al 2023","2","2","glial"
"sample.id:Br8325_mid","1.81e-02","huuki-meyers-et-al-2023_dlpfc-cohort1_glial_shuffle","Huuki-Myers et al 2023","2","2","glial"
"sample.id:Br8492_post","2.29e-02","huuki-meyers-et-al-2023_dlpfc-cohort1_glial_shuffle","Huuki-Myers et al 2023","2","2","glial"
"sample.id:Br3942_ant","1.28e-02","huuki-meyers-et-al-2023_dlpfc-cohort1_glial_shuffle","Huuki-Myers et al 2023","2","2","glial"
"sample.id:Br8492_mid","1.71e-02","huuki-meyers-et-al-2023_dlpfc-cohort1_glial_shuffle","Huuki-Myers et al 2023","2","2","glial"
"condition.id:noscale","4.59e-02","huuki-meyers-et-al-2023_dlpfc-cohort1_glial_shuffle","Huuki-Myers et al 2023","2","2","glial"
"condition.id:withscale","2.64e-02","huuki-meyers-et-al-2023_dlpfc-cohort1_glial_shuffle","Huuki-Myers et al 2023","2","2","glial"
"replicate.id:rep1","3.74e-02","huuki-meyers-et-al-2023_dlpfc-cohort1_glial_shuffle","Huuki-Myers et al 2023","2","2","glial"
"replicate.id:rep1;condition.id:noscale","4.59e-02","huuki-meyers-et-al-2023_dlpfc-cohort1_glial_shuffle","Huuki-Myers et al 2023","2","2","glial"
"replicate.id:rep1;condition.id:withscale","2.64e-02","huuki-meyers-et-al-2023_dlpfc-cohort1_glial_shuffle","Huuki-Myers et al 2023","2","2","glial"
"sample.id:Br2720_mid","1.01e-01","huuki-meyers-et-al-2023_k3","NA","3","3",""
"sample.id:Br6471_mid","1.29e-01","huuki-meyers-et-al-2023_k3","NA","3","3",""
"sample.id:Br8492_post","1.27e-01","huuki-meyers-et-al-2023_k3","NA","3","3",""
"sample.id:Br8492_mid","1.01e-01","huuki-meyers-et-al-2023_k3","NA","3","3",""
"sample.id:Br3942_ant","8.49e-02","huuki-meyers-et-al-2023_k3","NA","3","3",""
"sample.id:Br6423_post","1.49e-01","huuki-meyers-et-al-2023_k3","NA","3","3",""
"sample.id:Br6423_ant","1.48e-01","huuki-meyers-et-al-2023_k3","NA","3","3",""
"sample.id:Br3942_mid","7.23e-02","huuki-meyers-et-al-2023_k3","NA","3","3",""
"sample.id:Br8325_ant","6.81e-02","huuki-meyers-et-al-2023_k3","NA","3","3",""
"sample.id:Br8325_mid","1.14e-01","huuki-meyers-et-al-2023_k3","NA","3","3",""
"sample.id:Br2743_mid","7.01e-02","huuki-meyers-et-al-2023_k3","NA","3","3",""
"sample.id:Br6432_ant","1.17e-01","huuki-meyers-et-al-2023_k3","NA","3","3",""
"sample.id:Br6522_mid","1.12e-01","huuki-meyers-et-al-2023_k3","NA","3","3",""
"sample.id:Br6522_post","1.05e-01","huuki-meyers-et-al-2023_k3","NA","3","3",""
"sample.id:Br8667_mid","1.61e-01","huuki-meyers-et-al-2023_k3","NA","3","3",""
"sample.id:Br8667_ant","1.61e-01","huuki-meyers-et-al-2023_k3","NA","3","3",""
"condition.id:noscale","1.66e-01","huuki-meyers-et-al-2023_k3","NA","3","3",""
"condition.id:withscale","9.38e-17","huuki-meyers-et-al-2023_k3","NA","3","3",""
"replicate.id:rep1","1.18e-01","huuki-meyers-et-al-2023_k3","NA","3","3",""
"replicate.id:rep1;condition.id:noscale","1.66e-01","huuki-meyers-et-al-2023_k3","NA","3","3",""
"replicate.id:rep1;condition.id:withscale","9.38e-17","huuki-meyers-et-al-2023_k3","NA","3","3",""
"sample.id:donor6","1.42e-01","tran-et-al-2021_dlpfc-cohort2_k3","Tran et al 2021","3","3","Excit;Inhib;glial"
"sample.id:donor1","1.20e-01","tran-et-al-2021_dlpfc-cohort2_k3","Tran et al 2021","3","3","Excit;Inhib;glial"
"sample.id:donor2","1.35e-01","tran-et-al-2021_dlpfc-cohort2_k3","Tran et al 2021","3","3","Excit;Inhib;glial"
"condition.id:noscale","1.88e-01","tran-et-al-2021_dlpfc-cohort2_k3","Tran et al 2021","3","3","Excit;Inhib;glial"
"condition.id:withscale","1.67e-16","tran-et-al-2021_dlpfc-cohort2_k3","Tran et al 2021","3","3","Excit;Inhib;glial"
"replicate.id:rep1","1.33e-01","tran-et-al-2021_dlpfc-cohort2_k3","Tran et al 2021","3","3","Excit;Inhib;glial"
"replicate.id:rep1;condition.id:noscale","1.88e-01","tran-et-al-2021_dlpfc-cohort2_k3","Tran et al 2021","3","3","Excit;Inhib;glial"
"replicate.id:rep1;condition.id:withscale","1.67e-16","tran-et-al-2021_dlpfc-cohort2_k3","Tran et al 2021","3","3","Excit;Inhib;glial"
"sample.id:Br2720_mid","1.33e-01","huuki-meyers-et-al-2023_Excit_k3","NA","3","3",""
"sample.id:Br6471_mid","1.76e-01","huuki-meyers-et-al-2023_Excit_k3","NA","3","3",""
"sample.id:Br8492_post","1.68e-01","huuki-meyers-et-al-2023_Excit_k3","NA","3","3",""
"sample.id:Br8492_mid","1.33e-01","huuki-meyers-et-al-2023_Excit_k3","NA","3","3",""
"sample.id:Br3942_ant","1.12e-01","huuki-meyers-et-al-2023_Excit_k3","NA","3","3",""
"sample.id:Br6423_post","1.97e-01","huuki-meyers-et-al-2023_Excit_k3","NA","3","3",""
"sample.id:Br6423_ant","1.91e-01","huuki-meyers-et-al-2023_Excit_k3","NA","3","3",""
"sample.id:Br3942_mid","9.29e-02","huuki-meyers-et-al-2023_Excit_k3","NA","3","3",""
"sample.id:Br8325_ant","9.20e-02","huuki-meyers-et-al-2023_Excit_k3","NA","3","3",""
"sample.id:Br8325_mid","1.53e-01","huuki-meyers-et-al-2023_Excit_k3","NA","3","3",""
"sample.id:Br2743_mid","9.70e-02","huuki-meyers-et-al-2023_Excit_k3","NA","3","3",""
"sample.id:Br6432_ant","1.49e-01","huuki-meyers-et-al-2023_Excit_k3","NA","3","3",""
"sample.id:Br6522_mid","1.48e-01","huuki-meyers-et-al-2023_Excit_k3","NA","3","3",""
"sample.id:Br6522_post","1.35e-01","huuki-meyers-et-al-2023_Excit_k3","NA","3","3",""
"sample.id:Br8667_mid","2.07e-01","huuki-meyers-et-al-2023_Excit_k3","NA","3","3",""
"sample.id:Br8667_ant","2.07e-01","huuki-meyers-et-al-2023_Excit_k3","NA","3","3",""
"condition.id:noscale","2.18e-01","huuki-meyers-et-al-2023_Excit_k3","NA","3","3",""
"condition.id:withscale","1.05e-16","huuki-meyers-et-al-2023_Excit_k3","NA","3","3",""
"replicate.id:rep1","1.54e-01","huuki-meyers-et-al-2023_Excit_k3","NA","3","3",""
"replicate.id:rep1;condition.id:noscale","2.18e-01","huuki-meyers-et-al-2023_Excit_k3","NA","3","3",""
"replicate.id:rep1;condition.id:withscale","1.05e-16","huuki-meyers-et-al-2023_Excit_k3","NA","3","3",""
"sample.id:donor6","1.99e-01","tran-et-al-2021_dlpfc-cohort2_Excit_k3","Tran et al 2021","3","3","Excit"
"sample.id:donor1","1.69e-01","tran-et-al-2021_dlpfc-cohort2_Excit_k3","Tran et al 2021","3","3","Excit"
"sample.id:donor2","1.90e-01","tran-et-al-2021_dlpfc-cohort2_Excit_k3","Tran et al 2021","3","3","Excit"
"condition.id:noscale","2.63e-01","tran-et-al-2021_dlpfc-cohort2_Excit_k3","Tran et al 2021","3","3","Excit"
"condition.id:withscale","1.43e-16","tran-et-al-2021_dlpfc-cohort2_Excit_k3","Tran et al 2021","3","3","Excit"
"replicate.id:rep1","1.86e-01","tran-et-al-2021_dlpfc-cohort2_Excit_k3","Tran et al 2021","3","3","Excit"
"replicate.id:rep1;condition.id:noscale","2.63e-01","tran-et-al-2021_dlpfc-cohort2_Excit_k3","Tran et al 2021","3","3","Excit"
"replicate.id:rep1;condition.id:withscale","1.43e-16","tran-et-al-2021_dlpfc-cohort2_Excit_k3","Tran et al 2021","3","3","Excit"
"sample.id:Br2720_mid","1.11e-01","huuki-meyers-et-al-2023_Inhib_k3","NA","3","3",""
"sample.id:Br6471_mid","4.27e-02","huuki-meyers-et-al-2023_Inhib_k3","NA","3","3",""
"sample.id:Br8492_post","3.01e-02","huuki-meyers-et-al-2023_Inhib_k3","NA","3","3",""
"sample.id:Br8492_mid","2.18e-02","huuki-meyers-et-al-2023_Inhib_k3","NA","3","3",""
"sample.id:Br3942_ant","1.88e-02","huuki-meyers-et-al-2023_Inhib_k3","NA","3","3",""
"sample.id:Br6423_post","3.29e-02","huuki-meyers-et-al-2023_Inhib_k3","NA","3","3",""
"sample.id:Br6423_ant","2.05e-02","huuki-meyers-et-al-2023_Inhib_k3","NA","3","3",""
"sample.id:Br3942_mid","9.55e-03","huuki-meyers-et-al-2023_Inhib_k3","NA","3","3",""
"sample.id:Br8325_ant","2.10e-02","huuki-meyers-et-al-2023_Inhib_k3","NA","3","3",""
"sample.id:Br8325_mid","3.42e-02","huuki-meyers-et-al-2023_Inhib_k3","NA","3","3",""
"sample.id:Br2743_mid","3.08e-02","huuki-meyers-et-al-2023_Inhib_k3","NA","3","3",""
"sample.id:Br6432_ant","1.36e-01","huuki-meyers-et-al-2023_Inhib_k3","NA","3","3",""
